Case Id;Title;Date;Priority;Planned duration (minutes);Test Areas;Average Duration;Tags;Objective;Test Data;Preconditions & Assumptions
new;Parse xml format;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;"<p>Create add-on</p>";"Dummy result"
"";new;"<p>Create test sourcetype and upload XML sample</p>";"Dummy result"
"";new;"<p>In field extraction page, select sourcetype, xml format and click on parse</p>";"<p>XML events are displayed correctly</p>"
"";new;"<p>Click on Save</p>";"<p>&nbsp;The props.conf file is updated with KV_MODE=xml</p>"
"";new;"<p>Select sourcetype</p>";"<p>It shows format is XML</p>"
"";new;"<p>Load Results</p>";"<p>The XML events page is opened</p>"
new;Parse imported sourcetype;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;"<p>Add sourcetype from Splunk</p>";"Dummy result"
"";new;"<p>Parse it in field extraction page.</p>";"<p>The parse complete successful. Soucetype is added in table.</p>"
"";new;"<p>Load parsing results</p>";"<p>Displayed correctly. At backend, conf files are updated.</p>"
"";new;"<p>Modify field extraction and save</p>";"<p>Updated correctly. Backend is changed.</p>"
"";new;"<p>Delete the field extraction results</p>";"<p>Cleaned. Backend confs are updated.</p>"
new;Summary table display;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;"<p>Create sourcetypes and add samples</p>";"Dummy result"
"";new;"<p>Parse sourcetypes with different formats</p>";"<p>The parsed sourcetype should be displayed correctly.</p>"
"";new;"<p>Click on Load Result</p>";"<p>The result page show up</p>"
"";new;"<p>Re-parse the sourcetype with another format and save</p>";"<p>The table should update</p>"
"";new;"<p>Delete sourcetype from table and confirm</p>";"<p>&nbsp;The sourcetype should be removed from table</p>
<p>Drop-down list text should be updated.</p>"
new;Hide disabled addon;2016-07-18;0;;"";0;HomePage;"";"";""
"";Step Id;Action;Result
"";new;"Create project and restart";"Dummy result"
"";new;"In Apps page, disable the created project";"Dummy result"
"";new;"Restart";"Dummy result"
"";new;"Open add-on builder";"Dummy result"
new;Check page display;2016-07-18;0;;"";0;HomePage;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Check profile display;2016-07-18;0;;"";0;HomePage;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Sort projects;2016-07-18;0;;"";0;HomePage;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Filter projects;2016-07-18;0;;"";0;HomePage;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Create project;2016-07-18;0;;"";0;HomePage;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Check last modified time;2016-07-18;0;;"";0;HomePage;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
